                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4882,                 2.9007,                 3.1813,                0.85485,                 0.7167,                0.78837,                0.42851,                 1.6783,                 1.4503,                 2.2717,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.5937,                 1.2681,                 2.0105,                0.87272,                0.79503,                0.83395,                  0.445,                 1.6422,                 1.4281,                 2.0314,              0.0065982,              0.0065982,              0.0065982
                      3,                 1.4586,                 1.0448,                 1.8164,                0.91472,                0.84193,                0.90576,                0.46343,                 1.6491,                 1.0391,                 2.0493,              0.0097995,              0.0097995,              0.0097995
                      4,                 1.3924,                0.92521,                 1.7508,                 0.9464,                0.88608,                0.93623,                0.55741,                 1.4305,                0.73862,                 1.7808,               0.009703,               0.009703,               0.009703
                      5,                 1.3379,                0.84784,                 1.6931,                0.95029,                0.89962,                0.94813,                 0.5834,                 1.3523,                0.70553,                 1.7475,               0.009703,               0.009703,               0.009703
                      6,                 1.3018,                0.79953,                 1.6574,                0.97062,                0.91229,                0.95462,                0.59044,                 1.3387,                0.67151,                 1.7335,               0.009604,               0.009604,               0.009604
                      7,                 1.2706,                0.76352,                 1.6368,                0.95115,                0.91792,                 0.9561,                0.60092,                 1.3382,                0.62986,                 1.7311,               0.009505,               0.009505,               0.009505
                      8,                 1.2501,                0.73149,                 1.6106,                0.96648,                0.91463,                0.95276,                0.59065,                 1.3859,                 0.6256,                 1.7743,               0.009406,               0.009406,               0.009406
                      9,                  1.239,                0.71875,                 1.6073,                0.96963,                0.92448,                0.96282,                0.62362,                 1.2905,                0.58988,                 1.6894,               0.009307,               0.009307,               0.009307
                     10,                 1.2195,                0.69541,                 1.5917,                0.96178,                0.92824,                0.96103,                0.62649,                 1.2835,                0.57114,                 1.6811,               0.009208,               0.009208,               0.009208
                     11,                 1.2179,                0.68545,                 1.5901,                0.96238,                0.92401,                0.96097,                 0.6105,                 1.3225,                0.58422,                 1.7173,               0.009109,               0.009109,               0.009109
                     12,                 1.2003,                0.66802,                   1.57,                0.96735,                0.93122,                0.96451,                0.61454,                  1.328,                0.54695,                 1.7292,                0.00901,                0.00901,                0.00901
                     13,                 1.1973,                0.65823,                  1.574,                0.96745,                0.93293,                0.96566,                0.63719,                 1.2528,                0.53375,                 1.6521,               0.008911,               0.008911,               0.008911
                     14,                 1.1847,                0.64868,                 1.5544,                0.97119,                0.93058,                0.96997,                0.64577,                  1.241,                 0.5132,                 1.6466,               0.008812,               0.008812,               0.008812
                     15,                 1.1793,                0.63829,                 1.5555,                0.96665,                0.93152,                0.96831,                0.64588,                  1.234,                0.51408,                 1.6328,               0.008713,               0.008713,               0.008713
                     16,                 1.1752,                0.63505,                  1.551,                0.96812,                0.93902,                0.96937,                0.64213,                 1.2463,                0.50099,                 1.6463,               0.008614,               0.008614,               0.008614
                     17,                 1.1635,                 0.6251,                 1.5413,                0.96836,                0.93322,                0.96705,                0.64838,                 1.2236,                0.50724,                 1.6451,               0.008515,               0.008515,               0.008515
                     18,                 1.1573,                0.61502,                 1.5369,                0.97033,                0.93576,                0.97034,                0.65192,                  1.221,                0.49278,                 1.6247,               0.008416,               0.008416,               0.008416
                     19,                 1.1499,                 0.6048,                 1.5296,                0.97178,                 0.9367,                 0.9691,                 0.6589,                  1.206,                0.48286,                 1.6334,               0.008317,               0.008317,               0.008317
                     20,                 1.1477,                0.59881,                 1.5229,                0.97101,                0.94253,                0.97154,                0.65785,                 1.2025,                 0.4758,                 1.6121,               0.008218,               0.008218,               0.008218
                     21,                 1.1459,                0.59651,                 1.5205,                0.97234,                0.93996,                0.97453,                0.65567,                 1.2096,                0.46967,                 1.6198,               0.008119,               0.008119,               0.008119
                     22,                 1.1391,                0.58675,                 1.5118,                0.97407,                0.93856,                0.97327,                0.66623,                 1.1993,                0.46113,                 1.6072,                0.00802,                0.00802,                0.00802
                     23,                 1.1382,                0.58215,                 1.5133,                0.97422,                0.93926,                0.97439,                0.66454,                 1.1856,                0.45882,                 1.6065,               0.007921,               0.007921,               0.007921
                     24,                 1.1265,                0.57111,                 1.5081,                0.96938,                0.94465,                0.97109,                0.66363,                 1.1973,                0.45573,                 1.6117,               0.007822,               0.007822,               0.007822
                     25,                 1.1265,                0.57075,                 1.5032,                0.97311,                0.94512,                0.97428,                0.66175,                 1.1969,                0.45293,                 1.6171,               0.007723,               0.007723,               0.007723
                     26,                  1.119,                0.56903,                 1.4961,                0.97494,                0.94418,                0.97372,                0.66689,                 1.1877,                0.44791,                 1.6097,               0.007624,               0.007624,               0.007624
                     27,                 1.1149,                0.56364,                  1.497,                0.96788,                0.94702,                0.97192,                0.66817,                  1.188,                0.44343,                 1.6139,               0.007525,               0.007525,               0.007525
                     28,                 1.1154,                0.56191,                 1.4997,                0.97647,                0.94747,                0.97533,                0.66668,                 1.1805,                0.44152,                 1.6082,               0.007426,               0.007426,               0.007426
                     29,                 1.1093,                0.55617,                 1.4924,                0.97788,                0.94465,                 0.9763,                 0.6753,                 1.1581,                0.43498,                 1.5877,               0.007327,               0.007327,               0.007327
                     30,                 1.1023,                0.55114,                 1.4904,                0.96678,                0.95497,                0.97643,                0.67662,                 1.1579,                0.43199,                 1.5931,               0.007228,               0.007228,               0.007228
                     31,                 1.1022,                0.54913,                 1.4927,                0.97672,                0.94461,                0.97599,                0.67434,                 1.1655,                0.43229,                 1.5988,               0.007129,               0.007129,               0.007129
                     32,                 1.1033,                0.54939,                 1.4867,                0.97172,                0.95169,                0.97701,                0.67676,                 1.1586,                0.42893,                 1.5896,                0.00703,                0.00703,                0.00703
                     33,                 1.0971,                0.54633,                 1.4826,                 0.9734,                0.95263,                 0.9769,                0.68022,                 1.1605,                0.42717,                 1.5854,               0.006931,               0.006931,               0.006931
                     34,                 1.1018,                0.54555,                 1.4856,                0.97687,                0.94653,                0.97606,                0.67729,                 1.1641,                0.42531,                 1.5884,               0.006832,               0.006832,               0.006832
                     35,                  1.093,                 0.5395,                 1.4782,                0.97496,                0.94982,                0.97788,                0.67599,                 1.1645,                0.42429,                 1.5914,               0.006733,               0.006733,               0.006733
                     36,                 1.0854,                0.53202,                 1.4734,                0.97269,                0.95229,                0.97815,                0.67764,                 1.1629,                0.42357,                 1.5927,               0.006634,               0.006634,               0.006634
                     37,                 1.0845,                0.52937,                 1.4708,                0.97781,                0.95057,                0.97767,                0.67585,                 1.1593,                0.42016,                 1.5909,               0.006535,               0.006535,               0.006535
                     38,                 1.0808,                 0.5285,                 1.4672,                0.97549,                0.95169,                0.97991,                0.67973,                 1.1527,                0.41691,                 1.5852,               0.006436,               0.006436,               0.006436
                     39,                 1.0775,                0.52957,                 1.4647,                0.97642,                0.95168,                0.97924,                0.68291,                 1.1458,                0.41392,                 1.5802,               0.006337,               0.006337,               0.006337
                     40,                 1.0792,                 0.5272,                 1.4606,                0.97599,                0.95345,                0.97902,                0.68205,                 1.1454,                0.41336,                 1.5774,               0.006238,               0.006238,               0.006238
                     41,                 1.0736,                0.51967,                 1.4575,                0.97662,                0.95216,                0.97936,                0.68313,                 1.1435,                0.41069,                 1.5748,               0.006139,               0.006139,               0.006139
                     42,                 1.0731,                0.51959,                 1.4561,                0.97701,                0.95122,                0.97938,                0.68476,                 1.1421,                0.41214,                  1.573,                0.00604,                0.00604,                0.00604
                     43,                 1.0688,                0.51772,                 1.4526,                0.97599,                 0.9535,                0.98002,                0.68426,                 1.1402,                0.41124,                 1.5717,               0.005941,               0.005941,               0.005941
