                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2582,                0.92055,                 1.2556,                0.95428,                0.93014,                0.95054,                  0.598,                 1.2892,                0.58615,                 1.2039,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.2035,                0.65548,                 1.2035,                0.95819,                0.92451,                0.95501,                0.61057,                 1.2757,                0.62216,                 1.2245,              0.0065982,              0.0065982,              0.0065982
                      3,                 1.2535,                0.72479,                 1.2458,                0.93685,                 0.9046,                0.93796,                0.56277,                 1.4736,                0.72974,                  1.383,              0.0097995,              0.0097995,              0.0097995
                      4,                 1.2667,                0.74387,                 1.2741,                0.95115,                0.91333,                0.95064,                0.58406,                 1.3659,                0.63553,                 1.3196,               0.009703,               0.009703,               0.009703
                      5,                 1.2313,                0.69784,                 1.2525,                0.94883,                0.91331,                0.95828,                0.61403,                 1.2926,                 0.6005,                 1.2654,               0.009703,               0.009703,               0.009703
                      6,                 1.1973,                0.65843,                 1.2301,                0.95403,                0.93105,                0.96462,                0.63122,                 1.2455,                0.55241,                 1.2427,               0.009604,               0.009604,               0.009604
                      7,                 1.1757,                0.63185,                  1.218,                 0.9738,                0.93199,                0.96903,                0.65083,                 1.2071,                0.51002,                 1.2159,               0.009505,               0.009505,               0.009505
                      8,                 1.1602,                0.60951,                 1.2055,                0.96736,                0.94606,                0.96704,                0.64772,                 1.2239,                0.51625,                   1.22,               0.009406,               0.009406,               0.009406
                      9,                 1.1476,                0.59886,                 1.2003,                0.96739,                0.94137,                0.97235,                0.66252,                 1.1864,                0.49778,                 1.2051,               0.009307,               0.009307,               0.009307
                     10,                 1.1278,                0.58439,                 1.1933,                0.96047,                0.93458,                0.96475,                0.64837,                 1.2155,                0.51212,                 1.2189,               0.009208,               0.009208,               0.009208
                     11,                 1.1262,                0.57564,                 1.1882,                0.94531,                0.94046,                0.96949,                0.65604,                 1.1879,                0.50053,                 1.1929,               0.009109,               0.009109,               0.009109
                     12,                 1.1084,                0.55769,                 1.1758,                0.96949,                0.93893,                0.97597,                0.66962,                 1.1755,                0.46946,                 1.1841,                0.00901,                0.00901,                0.00901
                     13,                 1.1041,                0.54968,                 1.1738,                0.96662,                0.94559,                0.97652,                0.67576,                 1.1586,                0.45631,                 1.1727,               0.008911,               0.008911,               0.008911
                     14,                 1.0955,                0.54212,                 1.1699,                0.96992,                0.95271,                0.97863,                0.67725,                 1.1506,                0.45168,                 1.1748,               0.008812,               0.008812,               0.008812
                     15,                 1.0907,                0.53295,                 1.1659,                0.97014,                0.95497,                0.98053,                0.67878,                 1.1546,                0.44657,                 1.1782,               0.008713,               0.008713,               0.008713
                     16,                 1.0828,                0.53208,                  1.162,                0.97037,                0.95497,                0.97675,                0.67859,                 1.1597,                0.43406,                 1.1777,               0.008614,               0.008614,               0.008614
                     17,                 1.0768,                0.52253,                 1.1589,                0.97501,                0.95159,                0.97924,                0.68237,                 1.1445,                0.43183,                 1.1692,               0.008515,               0.008515,               0.008515
                     18,                 1.0711,                0.52023,                 1.1514,                0.98058,                0.94887,                0.98058,                0.68736,                 1.1333,                0.42587,                 1.1613,               0.008416,               0.008416,               0.008416
                     19,                 1.0626,                0.51377,                 1.1456,                0.96896,                0.95732,                0.97805,                0.69312,                   1.12,                0.42203,                 1.1537,               0.008317,               0.008317,               0.008317
                     20,                 1.0609,                0.50627,                 1.1469,                0.97334,                0.95914,                0.98182,                0.69053,                 1.1255,                0.40935,                 1.1581,               0.008218,               0.008218,               0.008218
                     21,                 1.0579,                0.50379,                 1.1459,                0.97725,                0.96388,                0.98292,                0.69123,                 1.1267,                0.40586,                 1.1547,               0.008119,               0.008119,               0.008119
                     22,                 1.0508,                0.49806,                  1.142,                0.97573,                0.95966,                0.98232,                0.69765,                 1.1205,                0.40129,                 1.1541,                0.00802,                0.00802,                0.00802
                     23,                 1.0429,                 0.4885,                 1.1376,                0.97301,                0.96382,                0.98246,                0.69331,                 1.1247,                0.39317,                 1.1611,               0.007921,               0.007921,               0.007921
                     24,                  1.039,                0.48166,                 1.1356,                0.98218,                0.95872,                0.98381,                0.69739,                 1.1191,                0.38899,                 1.1488,               0.007822,               0.007822,               0.007822
                     25,                 1.0325,                 0.4835,                 1.1264,                0.98149,                 0.9606,                0.98233,                0.69918,                 1.1074,                0.39099,                 1.1449,               0.007723,               0.007723,               0.007723
